"","Day","Step","Row","Column","X","Y","Agent"
"1",26,258,1658,485,-120.695833333333,35.1761823681993,1
"2",28,37,1626,462,-120.8875,35.442849034866,2
"3",13,65,1659,486,-120.6875,35.167849034866,3
"4",26,14,1659,486,-120.6875,35.167849034866,4
"5",21,328,1659,486,-120.6875,35.167849034866,5
"6",23,33,1659,485,-120.695833333333,35.167849034866,6
"7",17,17,1658,485,-120.695833333333,35.1761823681993,7
"8",26,74,1628,465,-120.8625,35.4261823681993,8
"9",21,328,1659,486,-120.6875,35.167849034866,9
"10",21,13,1659,486,-120.6875,35.167849034866,10
"11",13,6,1659,486,-120.6875,35.167849034866,11
"12",18,121,1659,486,-120.6875,35.167849034866,12
"13",12,267,1629,465,-120.8625,35.417849034866,13
"14",24,265,1640,465,-120.8625,35.3261823681993,14
"15",17,48,1640,465,-120.8625,35.3261823681993,15
"16",21,21,1659,485,-120.695833333333,35.167849034866,16
"17",30,30,1658,485,-120.695833333333,35.1761823681993,17
"18",22,66,1659,486,-120.6875,35.167849034866,18
"19",26,77,1659,486,-120.6875,35.167849034866,19
"20",21,143,1640,465,-120.8625,35.3261823681993,20
"21",22,44,1659,486,-120.6875,35.167849034866,21
"22",12,62,1659,486,-120.6875,35.167849034866,22
"23",22,10,1629,465,-120.8625,35.417849034866,23
"24",17,77,1658,485,-120.695833333333,35.1761823681993,24
"25",27,24,1658,485,-120.695833333333,35.1761823681993,25
"26",16,265,1612,439,-121.079166666667,35.5595157015326,26
"27",13,16,1658,485,-120.695833333333,35.1761823681993,27
"28",27,138,1659,486,-120.6875,35.167849034866,28
"29",24,13,1658,485,-120.695833333333,35.1761823681993,29
"30",19,147,1659,486,-120.6875,35.167849034866,30
"31",16,16,1658,485,-120.695833333333,35.1761823681993,31
"32",13,7,1659,486,-120.6875,35.167849034866,32
"33",21,21,1659,485,-120.695833333333,35.167849034866,33
"34",26,187,1632,466,-120.854166666667,35.3928490348659,34
"35",14,54,1658,485,-120.695833333333,35.1761823681993,35
"36",20,14,1628,465,-120.8625,35.4261823681993,36
"37",25,18,1632,466,-120.854166666667,35.3928490348659,37
"38",18,42,1659,486,-120.6875,35.167849034866,38
"39",21,21,1659,485,-120.695833333333,35.167849034866,39
"40",19,126,1659,486,-120.6875,35.167849034866,40
"41",12,62,1659,486,-120.6875,35.167849034866,41
"42",21,13,1659,486,-120.6875,35.167849034866,42
"43",24,40,1658,485,-120.695833333333,35.1761823681993,43
"44",26,45,1631,466,-120.854166666667,35.4011823681993,44
"45",24,174,1659,486,-120.6875,35.167849034866,45
"46",26,167,1631,466,-120.854166666667,35.4011823681993,46
"47",24,13,1631,466,-120.854166666667,35.4011823681993,47
"48",30,150,1640,465,-120.8625,35.3261823681993,48
"49",30,54,1659,485,-120.695833333333,35.167849034866,49
"50",23,14,1658,485,-120.695833333333,35.1761823681993,50
"51",22,210,1659,486,-120.6875,35.167849034866,51
"52",22,22,1659,486,-120.6875,35.167849034866,52
"53",11,94,1658,485,-120.695833333333,35.1761823681993,53
"54",23,253,1659,485,-120.695833333333,35.167849034866,54
"55",24,296,1640,465,-120.8625,35.3261823681993,55
"56",15,31,1625,461,-120.895833333333,35.4511823681993,56
"57",15,254,1625,461,-120.895833333333,35.4511823681993,57
"58",22,68,1628,465,-120.8625,35.4261823681993,58
"59",17,307,1659,486,-120.6875,35.167849034866,59
"60",24,363,1659,486,-120.6875,35.167849034866,60
"61",21,328,1659,486,-120.6875,35.167849034866,61
"62",22,528,1659,486,-120.6875,35.167849034866,62
"63",18,104,1659,486,-120.6875,35.167849034866,63
"64",16,68,1658,485,-120.695833333333,35.1761823681993,64
"65",26,138,1658,485,-120.695833333333,35.1761823681993,65
"66",18,124,1659,486,-120.6875,35.167849034866,66
"67",23,269,1658,485,-120.695833333333,35.1761823681993,67
"68",17,74,1658,485,-120.695833333333,35.1761823681993,68
"69",24,360,1628,465,-120.8625,35.4261823681993,69
"70",28,220,1629,466,-120.854166666667,35.417849034866,70
"71",22,7,1658,485,-120.695833333333,35.1761823681993,71
"72",12,173,1659,486,-120.6875,35.167849034866,72
"73",22,46,1658,485,-120.695833333333,35.1761823681993,73
"74",19,301,1659,485,-120.695833333333,35.167849034866,74
"75",22,42,1659,486,-120.6875,35.167849034866,75
"76",13,6,1659,486,-120.6875,35.167849034866,76
"77",17,17,1658,485,-120.695833333333,35.1761823681993,77
"78",16,78,1658,485,-120.695833333333,35.1761823681993,78
"79",14,19,1658,485,-120.695833333333,35.1761823681993,79
"80",16,12,1628,465,-120.8625,35.4261823681993,80
"81",28,72,1659,486,-120.6875,35.167849034866,81
"82",13,46,1659,486,-120.6875,35.167849034866,82
"83",26,15,1629,466,-120.854166666667,35.417849034866,83
"84",17,291,1640,465,-120.8625,35.3261823681993,84
"85",12,63,1659,486,-120.6875,35.167849034866,85
"86",12,24,1659,486,-120.6875,35.167849034866,86
"87",17,31,1659,486,-120.6875,35.167849034866,87
"88",23,140,1659,486,-120.6875,35.167849034866,88
